Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GLP1R_3PA_GLP1_1 Spectral Count	GLP1R_3PA_GLP1_2 Spectral Count	GLP1R_3PA_GLP1_3 Spectral Count	GLP1R_3PA_GLP1_4 Spectral Count	GLP1R_3PA_VEH_1 Spectral Count	GLP1R_3PA_VEH_2 Spectral Count	GLP1R_3PA_VEH_3 Spectral Count	GLP1R_3PA_VEH_4 Spectral Count	GLP1R_WT_GLP1_1 Spectral Count	GLP1R_WT_GLP1_2 Spectral Count	GLP1R_WT_GLP1_3 Spectral Count	GLP1R_WT_GLP1_4 Spectral Count	GLP1R_WT_VEH_1 Spectral Count	GLP1R_WT_VEH_2 Spectral Count	GLP1R_WT_VEH_3 Spectral Count	GLP1R_WT_VEH_4 Spectral Count	NEG_1 Spectral Count	GLP1R_3PA_GLP1_1 Unique Spectral Count	GLP1R_3PA_GLP1_2 Unique Spectral Count	GLP1R_3PA_GLP1_3 Unique Spectral Count	GLP1R_3PA_GLP1_4 Unique Spectral Count	GLP1R_3PA_VEH_1 Unique Spectral Count	GLP1R_3PA_VEH_2 Unique Spectral Count	GLP1R_3PA_VEH_3 Unique Spectral Count	GLP1R_3PA_VEH_4 Unique Spectral Count	GLP1R_WT_GLP1_1 Unique Spectral Count	GLP1R_WT_GLP1_2 Unique Spectral Count	GLP1R_WT_GLP1_3 Unique Spectral Count	GLP1R_WT_GLP1_4 Unique Spectral Count	GLP1R_WT_VEH_1 Unique Spectral Count	GLP1R_WT_VEH_2 Unique Spectral Count	GLP1R_WT_VEH_3 Unique Spectral Count	GLP1R_WT_VEH_4 Unique Spectral Count	NEG_1 Unique Spectral Count	GLP1R_3PA_GLP1_1 Total Spectral Count	GLP1R_3PA_GLP1_2 Total Spectral Count	GLP1R_3PA_GLP1_3 Total Spectral Count	GLP1R_3PA_GLP1_4 Total Spectral Count	GLP1R_3PA_VEH_1 Total Spectral Count	GLP1R_3PA_VEH_2 Total Spectral Count	GLP1R_3PA_VEH_3 Total Spectral Count	GLP1R_3PA_VEH_4 Total Spectral Count	GLP1R_WT_GLP1_1 Total Spectral Count	GLP1R_WT_GLP1_2 Total Spectral Count	GLP1R_WT_GLP1_3 Total Spectral Count	GLP1R_WT_GLP1_4 Total Spectral Count	GLP1R_WT_VEH_1 Total Spectral Count	GLP1R_WT_VEH_2 Total Spectral Count	GLP1R_WT_VEH_3 Total Spectral Count	GLP1R_WT_VEH_4 Total Spectral Count	NEG_1 Total Spectral Count	GLP1R_3PA_GLP1_1 Intensity	GLP1R_3PA_GLP1_2 Intensity	GLP1R_3PA_GLP1_3 Intensity	GLP1R_3PA_GLP1_4 Intensity	GLP1R_3PA_VEH_1 Intensity	GLP1R_3PA_VEH_2 Intensity	GLP1R_3PA_VEH_3 Intensity	GLP1R_3PA_VEH_4 Intensity	GLP1R_WT_GLP1_1 Intensity	GLP1R_WT_GLP1_2 Intensity	GLP1R_WT_GLP1_3 Intensity	GLP1R_WT_GLP1_4 Intensity	GLP1R_WT_VEH_1 Intensity	GLP1R_WT_VEH_2 Intensity	GLP1R_WT_VEH_3 Intensity	GLP1R_WT_VEH_4 Intensity	NEG_1 Intensity	GLP1R_3PA_GLP1_1 MaxLFQ Intensity	GLP1R_3PA_GLP1_2 MaxLFQ Intensity	GLP1R_3PA_GLP1_3 MaxLFQ Intensity	GLP1R_3PA_GLP1_4 MaxLFQ Intensity	GLP1R_3PA_VEH_1 MaxLFQ Intensity	GLP1R_3PA_VEH_2 MaxLFQ Intensity	GLP1R_3PA_VEH_3 MaxLFQ Intensity	GLP1R_3PA_VEH_4 MaxLFQ Intensity	GLP1R_WT_GLP1_1 MaxLFQ Intensity	GLP1R_WT_GLP1_2 MaxLFQ Intensity	GLP1R_WT_GLP1_3 MaxLFQ Intensity	GLP1R_WT_GLP1_4 MaxLFQ Intensity	GLP1R_WT_VEH_1 MaxLFQ Intensity	GLP1R_WT_VEH_2 MaxLFQ Intensity	GLP1R_WT_VEH_3 MaxLFQ Intensity	GLP1R_WT_VEH_4 MaxLFQ Intensity	NEG_1 MaxLFQ Intensity	Indistinguishable Proteins
sp|A1A5R1|RFOX2_RAT	A1A5R1	RFOX2_RAT	Rbfox2	432	Rattus norvegicus	2:Experimental evidence at transcript level	RNA binding protein fox-1 homolog 2	1.0	0.999	5	45	0	45	3	2	3	1	4	4	2	2	1	3	3	3	4	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	1	4	4	2	2	1	3	3	3	4	3	2	3	2	86150.31	75563.99	414683.25	75237.38	77656.86	352551.4	425916.3	83409.13	93762.42	24766.824	409772.72	295641.22	411876.12	92078.47	87680.234	445136.4	73425.86	96746.086	96293.945	95588.26	81352.914	88258.57	88138.41	90930.164	92896.79	104417.78	96992.06	104021.17	104671.22	99817.805	102223.25	98464.84	94360.016	85145.67	
sp|A1A5S1|PRP6_RAT	A1A5S1	PRP6_RAT	Prpf6	941	Rattus norvegicus	1:Experimental evidence at protein level	Pre-mRNA-processing factor 6	1.0	0.999	19	283	0	283	18	12	16	15	17	12	16	17	22	17	14	19	20	15	16	23	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	12	16	15	17	12	16	17	22	17	14	19	20	15	16	23	14	447922.25	590271.44	488425.22	449063.0	450868.47	477353.75	489072.9	556725.06	501689.06	514635.5	461225.22	540028.1	507369.78	657874.9	566289.0	545415.7	546830.94	91980.39	88279.2	88510.086	91019.09	92647.63	90790.97	97788.31	97197.586	93334.32	91765.72	92840.3	92163.69	94309.805	93921.945	98702.03	91772.95	106179.28	tr|A0A8I6AW80|A0A8I6AW80_RAT, tr|A0ABK0LEI6|A0ABK0LEI6_RAT
sp|A1L134|AUP1_RAT	A1L134	AUP1_RAT	Aup1	410	Rattus norvegicus	2:Experimental evidence at transcript level	Lipid droplet-regulating VLDL assembly factor AUP1	1.0	0.999	3	19	0	19	0	0	0	0	0	0	0	0	2	2	2	3	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3	3	2	3	2	0	9328.993	21170.729	12296.279	10734.627	11259.584	29699.578	11739.613	13600.459	59239.125	97421.4	96607.875	114251.4	93179.65	87203.06	108258.14	84934.16	9303.299	12018.832	17792.373	15841.679	13829.754	14506.071	14399.413	15124.509	17521.895	27041.428	30604.176	28590.71	36386.207	29232.447	38120.234	31929.863	27089.361	11985.729	tr|A0A8I5YCA8|A0A8I5YCA8_RAT, tr|A0A8L2Q4W6|A0A8L2Q4W6_RAT
sp|A1L1I3|NUMBL_RAT	A1L1I3	NUMBL_RAT	Numbl	614	Rattus norvegicus	1:Experimental evidence at protein level	Numb-like protein	0.9999	0.9981	2	5	0	5	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0.0	13237.19	13489.893	11176.615	12583.033	0.0	13072.947	11398.409	0.0	0.0	10025.619	0.0	1095328.6	1029663.8	956796.75	730603.2	15457.194	0.0	46041.86	46920.812	38874.727	43766.555	0.0	45470.586	39646.17	0.0	0.0	34871.31	0.0	45821.56	41763.66	38808.137	28045.828	53763.52	tr|A0A0G2K9C5|A0A0G2K9C5_RAT
sp|A1L1J9|LMF2_RAT	A1L1J9	LMF2_RAT	Lmf2	702	Rattus norvegicus	2:Experimental evidence at transcript level	Lipase maturation factor 2	1.0	0.999	4	72	72	72	3	2	3	1	3	6	2	5	3	6	6	4	7	7	6	6	2	3	2	3	1	3	6	2	5	3	6	6	4	7	7	6	6	2	3	2	3	1	3	6	2	5	3	6	6	4	7	7	6	6	2	38563.594	39752.402	46749.484	52978.76	32846.277	44564.652	37057.555	41721.195	51612.766	71518.06	63857.18	74011.74	101920.62	80957.01	82226.06	97416.62	35781.504	22282.092	22993.098	26991.562	30585.73	19005.492	25480.35	20442.547	23753.531	29609.725	27607.873	24573.664	27886.924	30373.557	22938.031	22476.266	29033.775	19492.25	
sp|A1L1K8|HABP4_RAT	A1L1K8	HABP4_RAT	Habp4	411	Rattus norvegicus	1:Experimental evidence at protein level	Intracellular hyaluronan-binding protein 4	1.0	0.999	11	246	246	350	16	14	10	18	16	14	18	15	10	12	12	18	17	14	13	15	14	16	14	10	18	16	14	18	15	10	12	12	18	17	14	13	15	14	27	20	17	22	23	18	23	19	19	18	17	24	24	20	20	19	20	350473.03	359748.3	373740.66	363201.53	384368.97	349780.5	340443.9	279009.9	308481.03	374098.7	342201.78	306127.22	365817.47	366008.6	322222.22	356071.28	407689.16	81905.695	86235.01	89598.87	86992.24	91480.57	85706.65	78107.14	89113.914	78157.03	88547.41	83057.71	81056.305	87943.69	85407.64	76850.82	84309.96	97986.06	
sp|A1L1L6|MIRO1_RAT	A1L1L6	MIRO1_RAT	Rhot1	631	Rattus norvegicus	1:Experimental evidence at protein level	Mitochondrial Rho GTPase	1.0	0.999	5	67	0	67	3	3	3	4	1	4	3	2	3	5	6	5	5	6	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	4	1	4	3	2	3	5	6	5	5	6	7	7	0	73265.016	66920.06	83618.79	84733.7	74347.44	81291.16	78323.92	65400.523	86092.195	98347.33	117203.76	114660.12	92718.39	84580.88	93469.23	89483.17	26464.219	26774.973	26215.416	28497.842	29890.611	26203.58	29174.037	28235.621	28764.104	30373.908	34918.395	35753.49	33769.43	33071.473	30697.031	34547.535	32118.02	20412.705	tr|A0A0G2K777|A0A0G2K777_RAT, tr|A0A0G2K8T2|A0A0G2K8T2_RAT, tr|A0A8I6AGU0|A0A8I6AGU0_RAT, tr|A0A8I6AVD9|A0A8I6AVD9_RAT, tr|A0ABK0LVK4|A0ABK0LVK4_RAT, tr|F7EK49|F7EK49_RAT
sp|A2RUW1|TOLIP_RAT	A2RUW1	TOLIP_RAT	Tollip	274	Rattus norvegicus	1:Experimental evidence at protein level	Toll-interacting protein	0.9778	0.999	1	9	0	9	0	0	0	0	0	0	0	0	2	1	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	1	1	1	0	12679.484	12170.523	9645.467	10178.325	11264.962	13790.822	8682.375	11837.962	0.0	18355.096	18656.85	16559.96	18662.52	12722.269	0.0	20610.63	0.0	12679.484	12170.523	9645.467	10178.325	11264.962	13790.822	8682.375	11837.962	0.0	18355.096	18656.85	16559.96	18662.52	12722.269	0.0	20610.63	0.0	tr|A0A8I6A889|A0A8I6A889_RAT, tr|A0A8I6ACI3|A0A8I6ACI3_RAT
sp|A4L691|PINX1_RAT	A4L691	PINX1_RAT	Pinx1	331	Rattus norvegicus	1:Experimental evidence at protein level	PIN2/TERF1-interacting telomerase inhibitor 1	0.9778	0.999	1	23	0	23	1	2	1	1	0	2	2	1	1	4	1	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	2	2	1	1	4	1	2	2	1	0	1	1	24506.146	28490.969	150884.17	35781.66	0.0	30751.25	27483.953	24311.105	30228.504	182958.06	28116.523	30243.86	25635.451	24663.336	25740.043	0.0	135281.17	24506.146	28490.969	150884.17	35781.66	0.0	30751.25	27483.953	24311.105	30228.504	182958.06	28116.523	30243.86	25635.451	24663.336	25740.043	0.0	135281.17	tr|A0A8I6A1H3|A0A8I6A1H3_RAT, tr|A0ABK0LIX0|A0ABK0LIX0_RAT, tr|A0ABK0M2N3|A0ABK0M2N3_RAT
sp|A4L9P7|PDS5A_RAT	A4L9P7	PDS5A_RAT	Pds5a	1333	Rattus norvegicus	1:Experimental evidence at protein level	Sister chromatid cohesion protein PDS5 homolog A	1.0	0.999	10	85	0	86	3	3	5	8	3	6	7	3	4	3	5	9	5	8	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	8	4	6	7	3	4	3	5	9	5	8	4	9	0	84492.695	68806.766	73173.38	88933.58	81384.25	84480.64	85451.625	74467.086	81152.445	91876.31	102842.77	113928.555	108256.08	117812.266	106810.67	117239.914	25984.496	21542.14	21398.7	20240.887	22796.268	19272.254	21467.28	22487.854	19279.072	21280.658	20159.191	20158.09	22136.135	22773.062	20625.332	18235.625	20858.986	10843.567	tr|A0ABK0LPV4|A0ABK0LPV4_RAT
sp|A6HD62|CHIP_RAT	A6HD62	CHIP_RAT	Stub1	304	Rattus norvegicus	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase CHIP	0.9975	0.999	1	7	7	7	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	18679.395	21016.148	18393.72	23278.582	21718.83	19042.969	21022.51	19144.537	29794.629	35098.598	23713.074	36549.74	22929.463	29103.922	21159.957	20233.094	18973.855	18679.395	21016.148	18393.72	23278.582	21718.83	19042.969	21022.51	19144.537	29794.629	35098.598	23713.074	36549.74	22929.463	29103.922	21159.957	20233.094	18973.855	
sp|A6IPG1|EF1B_RAT	A6IPG1	EF1B_RAT	Eef1b2	225	Rattus norvegicus	1:Experimental evidence at protein level	Elongation factor 1-beta	1.0	0.999	6	189	0	189	14	13	11	12	10	10	12	11	12	9	10	14	12	11	11	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	11	12	10	10	12	11	12	9	10	14	12	11	11	11	6	872735.8	654785.25	843334.3	869649.6	680414.8	628704.6	814639.75	792018.3	983220.2	931133.56	1018413.7	1075858.8	986930.75	1013705.75	1017984.75	1066748.0	500915.7	310848.75	323588.16	304875.7	312236.44	266673.94	311120.3	286964.4	282874.66	354503.1	331946.84	336501.94	353697.1	328704.62	335940.12	328968.4	351837.88	197487.77	tr|A0A8I6AEG7|A0A8I6AEG7_RAT
sp|A7VJC2|ROA2_RAT	A7VJC2	ROA2_RAT	Hnrnpa2b1	353	Rattus norvegicus	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoproteins A2/B1	1.0	0.999	15	226	0	275	26	11	7	9	13	11	10	11	19	12	14	16	14	12	12	12	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	12	7	11	18	14	14	13	21	14	14	18	19	15	15	19	21	1582598.5	391063.97	397216.06	526332.94	784224.44	475418.28	619719.8	501354.44	1266351.6	393175.94	499792.5	627278.94	473208.66	451119.9	478003.97	656800.94	673705.3	280416.12	81345.35	81685.8	94716.97	147917.4	105631.95	111072.2	112402.445	240835.64	86281.23	94424.65	120806.71	103628.79	107254.15	100304.37	121531.484	119953.47	tr|F1LNF1|F1LNF1_RAT
